Название api,Название на русском
ym:s:<attribution>TrafficSource,Источник трафика
ym:s:<attribution>SourceEngine,Источник трафика (детально)
ym:s:<attribution>AdvEngine,Рекламная система
ym:s:lastsignAdvEngine,Рекламная система
ym:s:<attribution>ReferalSource,Переход с сайтов
ym:s:<attribution>Messenger,Переход из мессенджера
ym:s:<attribution>RecommendationSystem,Переход из рекомендательной системы
ym:s:<attribution>DirectClickOrder,Кампания Яндекс.Директа
ym:s:<attribution>DirectBannerGroup,Группа объявлений
ym:s:<attribution>DirectClickBanner,Объявление Яндекс.Директа
ym:s:<attribution>DirectPhraseOrCond,Условие показа объявления
ym:s:<attribution>DirectPlatformType,Тип площадки
ym:s:<attribution>DirectPlatform,Площадка
ym:s:<attribution>DirectSearchPhrase,Поисковая фраза (Директ)
ym:s:<attribution>DirectConditionType,Тип условия показа объявления
ym:s:<attribution>Currency,Валюта
ym:s:experimentAB<experiment_ab>,Эксперимент Яндекс.Директа
ym:s:<attribution>DisplayCampaign,Номер заказа Яндекс.Дисплея
ym:s:marketSearchPhrase,Фраза (Маркет)
ym:s:<attribution>SearchEngineRoot,Поисковая система
ym:s:<attribution>SearchEngine,Поисковая система (детально)
ym:s:<attribution>SearchPhrase,Поисковая фраза
ym:s:<attribution>SocialNetwork,Cоциальная сеть
ym:s:<attribution>SocialNetworkProfile,Группа соц. Сети
ym:s:referer,Реферер
ym:s:refererProto,Протокол реферера
ym:s:refererDomain,Домен реферера
ym:s:refererPathFull,Путь (полный) реферера
ym:s:refererPath,Путь реферера
ym:s:refererPathLevel1,"Реферер, ур. 1"
ym:s:refererPathLevel2,"Реферер, ур. 2"
ym:s:refererPathLevel3,"Реферер, ур. 3"
ym:s:refererPathLevel4,"Реферер, ур. 4"
ym:s:refererPathLevel5,"Реферер, ур. 5"
ym:s:externalRefererHash,Внешний реферер
ym:s:externalReferer,Внешний реферер
ym:s:externalRefererProto,Протокол внешнего реферера
ym:s:externalRefererDomain,Домен внешнего реферера
ym:s:externalRefererPathFull,Путь (полный) внешнего реферера
ym:s:externalRefererPath,Путь внешнего реферера
ym:s:externalRefererPathLevel1,"Внешний реферер, ур. 1"
ym:s:externalRefererPathLevel2,"Внешний реферер, ур. 2"
ym:s:externalRefererPathLevel3,"Внешний реферер, ур. 3"
ym:s:externalRefererPathLevel4,"Внешний реферер, ур. 4"
ym:s:externalRefererPathLevel5,"Внешний реферер, ур. 5"
ym:s:from,Метка from
ym:s:lastsignUTMCampaign,UTM Campaign
ym:s:lastsignUTMContent,UTM Content
ym:s:lastsignUTMMedium,UTM Medium
ym:s:lastsignUTMSource,UTM Source
ym:s:lastsignUTMTerm,UTM Term
ym:s:openstatAd,Openstat Ad
ym:s:openstatCampaign,Openstat Campaign
ym:s:openstatService,Openstat Service
ym:s:openstatSource,Openstat Source
ym:s:hasGCLID,Наличие GCLID
ym:s:goal,Достигнутая цель
ym:s:goal<goal_id>IsReached,Достигнутый шаг составной цели
ym:s:pageViewsInterval,Глубина просмотра
ym:s:pageViews,Глубина просмотра (детально)
ym:s:visitDurationInterval,Время на сайте
ym:s:visitDuration,Время на сайте (детально)
ym:s:bounce,Отказность
ym:s:isRobot,Роботность
ym:s:startURL,Страница входа
ym:s:startURLProto,Протокол страницы входа
ym:s:topLevelDomain,Домен верхнего уровня страницы входа
ym:s:startURLDomain,Домен страницы входа
ym:s:startURLPathFull,Путь (полный) страницы входа
